"channel_from","channel_to","transition_probability"
"(start)","1",0.0543478260869565
"(start)","10",0.228678929765886
"(start)","11",0.0275919732441472
"(start)","3",0.0313545150501672
"(start)","5",0.133779264214047
"(start)","4",0.0142140468227425
"(start)","18",0.00919732441471572
"(start)","12",0.0464046822742475
"(start)","7",0.0129598662207358
"(start)","19",0.00167224080267559
"(start)","20",0.00418060200668896
"(start)","13",0.0831939799331104
"(start)","6",0.0702341137123746
"(start)","14",0.0965719063545151
"(start)","16",0.0259197324414716
"(start)","8",0.0209030100334448
"(start)","15",0.0108695652173913
"(start)","9",0.0234113712374582
"(start)","17",0.104515050167224
"1","2",0.142857142857143
"1","3",0.0384615384615385
"1","4",0.0137362637362637
"1","6",0.101648351648352
"1","8",0.043956043956044
"1","9",0.0549450549450549
"1","10",0.0521978021978022
"1","11",0.021978021978022
"1","5",0.043956043956044
"1","18",0.0137362637362637
"1","12",0.043956043956044
"1","(conversion)",0.0494505494505494
"1","7",0.0137362637362637
"1","13",0.134615384615385
"1","17",0.0576923076923077
"1","14",0.123626373626374
"1","16",0.0247252747252747
"1","15",0.0137362637362637
"1","20",0.00824175824175824
"1","19",0.00274725274725275
"2","(conversion)",0.882261410788382
"2","3",0.00622406639004149
"2","9",0.00155601659751037
"2","11",0.004149377593361
"2","1",0.00622406639004149
"2","4",0.00518672199170124
"2","7",0.0119294605809129
"2","12",0.0176348547717842
"2","6",0.00518672199170124
"2","8",0.00466804979253112
"2","17",0.00933609958506224
"2","14",0.0103734439834025
"2","13",0.00363070539419087
"2","5",0.00933609958506224
"2","18",0.00778008298755187
"2","10",0.00829875518672199
"2","19",0.00155601659751037
"2","20",0.000518672199170124
"2","15",0.00155601659751037
"2","16",0.00259336099585062
"3","(conversion)",0.0618279569892473
"3","2",0.198924731182796
"3","5",0.17741935483871
"3","18",0.0295698924731183
"3","13",0.0403225806451613
"3","6",0.0241935483870968
"3","7",0.0510752688172043
"3","15",0.00806451612903226
"3","4",0.0591397849462366
"3","12",0.0483870967741935
"3","14",0.0940860215053763
"3","11",0.0537634408602151
"3","20",0.021505376344086
"3","10",0.0510752688172043
"3","17",0.0188172043010753
"3","16",0.021505376344086
"3","1",0.0188172043010753
"3","9",0.0161290322580645
"3","19",0.00268817204301075
"3","8",0.00268817204301075
"4","5",0.0656934306569343
"4","12",0.109489051094891
"4","2",0.321167883211679
"4","3",0.0255474452554745
"4","(conversion)",0.0912408759124088
"4","17",0.0510948905109489
"4","7",0.0328467153284672
"4","18",0.0437956204379562
"4","14",0.072992700729927
"4","15",0.0145985401459854
"4","10",0.0218978102189781
"4","16",0.0364963503649635
"4","8",0.0255474452554745
"4","11",0.0145985401459854
"4","19",0.0109489051094891
"4","20",0.00364963503649635
"4","13",0.0072992700729927
"4","1",0.0109489051094891
"4","9",0.0218978102189781
"4","6",0.0182481751824818
"5","3",0.0530785562632696
"5","6",0.0318471337579618
"5","4",0.0530785562632696
"5","2",0.219745222929936
"5","(conversion)",0.0806794055201698
"5","14",0.0828025477707006
"5","12",0.123142250530786
"5","18",0.0360934182590234
"5","11",0.0414012738853503
"5","13",0.029723991507431
"5","9",0.0191082802547771
"5","17",0.059447983014862
"5","7",0.0276008492569002
"5","10",0.0796178343949045
"5","1",0.0127388535031847
"5","8",0.00849256900212314
"5","20",0.0106157112526539
"5","16",0.0233545647558386
"5","15",0.00743099787685775
"6","5",0.0355239786856128
"6","2",0.165186500888099
"6","7",0.0159857904085258
"6","(conversion)",0.0373001776198934
"6","10",0.0284191829484902
"6","3",0.0106571936056838
"6","4",0.024866785079929
"6","1",0.0337477797513321
"6","9",0.0319715808170515
"6","11",0.0603907637655417
"6","12",0.0710479573712256
"6","19",0.00177619893428064
"6","14",0.19360568383659
"6","15",0.0213143872113677
"6","13",0.0266429840142096
"6","17",0.136767317939609
"6","16",0.0497335701598579
"6","18",0.0159857904085258
"6","8",0.0373001776198934
"6","20",0.00177619893428064
"7","(conversion)",0.128065395095368
"7","2",0.474114441416894
"7","17",0.0217983651226158
"7","14",0.0245231607629428
"7","20",0.00817438692098093
"7","10",0.0272479564032698
"7","12",0.0463215258855586
"7","18",0.100817438692098
"7","13",0.0136239782016349
"7","11",0.0108991825613079
"7","6",0.0190735694822888
"7","5",0.0217983651226158
"7","4",0.0217983651226158
"7","3",0.0163487738419619
"7","8",0.0136239782016349
"7","19",0.00817438692098093
"7","16",0.0163487738419619
"7","9",0.0190735694822888
"7","1",0.00272479564032698
"7","15",0.00544959128065395
"8","1",0.032258064516129
"8","4",0.021505376344086
"8","7",0.028673835125448
"8","18",0.00716845878136201
"8","17",0.0860215053763441
"8","14",0.129032258064516
"8","11",0.0609318996415771
"8","15",0.10752688172043
"8","10",0.0860215053763441
"8","3",0.025089605734767
"8","12",0.039426523297491
"8","16",0.0645161290322581
"8","9",0.043010752688172
"8","(conversion)",0.0716845878136201
"8","6",0.0537634408602151
"8","2",0.0860215053763441
"8","5",0.039426523297491
"8","13",0.017921146953405
"9","1",0.0299625468164794
"9","(conversion)",0.0636704119850187
"9","14",0.0786516853932584
"9","13",0.0337078651685393
"9","5",0.0786516853932584
"9","15",0.0337078651685393
"9","17",0.0898876404494382
"9","2",0.183520599250936
"9","11",0.0674157303370786
"9","4",0.0224719101123595
"9","10",0.048689138576779
"9","3",0.0561797752808989
"9","12",0.0411985018726592
"9","6",0.0337078651685393
"9","16",0.0337078651685393
"9","18",0.0224719101123595
"9","8",0.0561797752808989
"9","19",0.00374531835205993
"9","7",0.0187265917602996
"9","20",0.00374531835205993
"10","6",0.0808897876643074
"10","3",0.038422649140546
"10","4",0.0242669362992922
"10","13",0.0303336703741153
"10","2",0.112234580384226
"10","14",0.138523761375126
"10","8",0.0333670374115268
"10","15",0.0222446916076845
"10","17",0.129423660262892
"10","5",0.0808897876643074
"10","1",0.038422649140546
"10","11",0.0980788675429727
"10","(conversion)",0.0424671385237614
"10","7",0.0141557128412538
"10","12",0.0455005055611729
"10","18",0.0141557128412538
"10","20",0.0070778564206269
"10","16",0.0394337714863498
"10","9",0.0101112234580384
"11","6",0.0347349177330896
"11","16",0.0329067641681901
"11","9",0.020109689213894
"11","10",0.0438756855575868
"11","3",0.0621572212065814
"11","2",0.217550274223035
"11","5",0.0968921389396709
"11","(conversion)",0.0603290676416819
"11","14",0.127970749542962
"11","17",0.0621572212065814
"11","7",0.0329067641681901
"11","15",0.0219378427787934
"11","1",0.020109689213894
"11","4",0.020109689213894
"11","18",0.0182815356489945
"11","12",0.0895795246800731
"11","13",0.0109689213893967
"11","8",0.0237659963436929
"11","20",0.0036563071297989
"12","2",0.34610123119015
"12","18",0.0984952120383037
"12","7",0.132694938440492
"12","6",0.0259917920656635
"12","13",0.00957592339261286
"12","9",0.00820793433652531
"12","(conversion)",0.129958960328317
"12","17",0.0259917920656635
"12","10",0.0300957592339261
"12","14",0.0410396716826265
"12","4",0.0232558139534884
"12","5",0.06703146374829
"12","16",0.00683994528043776
"12","1",0.00547195622435021
"12","8",0.00957592339261286
"12","11",0.0164158686730506
"12","3",0.00820793433652531
"12","20",0.00820793433652531
"12","15",0.00410396716826265
"12","19",0.0027359781121751
"13","4",0.00697674418604651
"13","17",0.072093023255814
"13","3",0.027906976744186
"13","(conversion)",0.0418604651162791
"13","10",0.0744186046511628
"13","5",0.0651162790697674
"13","2",0.155813953488372
"13","12",0.0604651162790698
"13","6",0.086046511627907
"13","14",0.158139534883721
"13","16",0.0232558139534884
"13","8",0.0162790697674419
"13","15",0.0116279069767442
"13","1",0.102325581395349
"13","11",0.0488372093023256
"13","7",0.0232558139534884
"13","20",0.00232558139534884
"13","18",0.0116279069767442
"13","9",0.0116279069767442
"14","7",0.0241587575496117
"14","2",0.18809318377912
"14","17",0.0811044003451251
"14","11",0.0690250215703192
"14","(conversion)",0.0759275237273512
"14","8",0.0388265746333046
"14","9",0.0232959447799827
"14","5",0.106125970664366
"14","10",0.0578084555651424
"14","3",0.0388265746333046
"14","6",0.0405522001725626
"14","16",0.0819672131147541
"14","18",0.0155306298533218
"14","13",0.0198446937014668
"14","12",0.0724762726488352
"14","1",0.0232959447799827
"14","4",0.0232959447799827
"14","15",0.0120793787748059
"14","20",0.00603968938740293
"14","19",0.00172562553925798
"15","11",0.0607734806629834
"15","2",0.138121546961326
"15","(conversion)",0.0828729281767956
"15","1",0.0331491712707182
"15","6",0.0386740331491713
"15","9",0.176795580110497
"15","18",0.0165745856353591
"15","17",0.104972375690608
"15","10",0.0497237569060773
"15","12",0.0165745856353591
"15","8",0.0497237569060773
"15","14",0.0883977900552486
"15","16",0.0386740331491713
"15","3",0.0276243093922652
"15","5",0.0386740331491713
"15","20",0.00552486187845304
"15","4",0.0220994475138122
"15","19",0.00552486187845304
"15","13",0.00552486187845304
"16","14",0.133152173913043
"16","2",0.157608695652174
"16","17",0.0733695652173913
"16","15",0.0326086956521739
"16","10",0.0706521739130435
"16","5",0.0842391304347826
"16","8",0.0543478260869565
"16","18",0.0244565217391304
"16","11",0.0706521739130435
"16","3",0.0326086956521739
"16","12",0.0516304347826087
"16","(conversion)",0.0625
"16","6",0.0298913043478261
"16","4",0.0353260869565217
"16","1",0.0190217391304348
"16","13",0.016304347826087
"16","7",0.0190217391304348
"16","9",0.0326086956521739
"17","12",0.0859465737514518
"17","2",0.180023228803717
"17","(conversion)",0.0824622531939605
"17","9",0.0150987224157956
"17","5",0.0511033681765389
"17","10",0.0662020905923345
"17","3",0.0255516840882695
"17","18",0.0255516840882695
"17","11",0.0894308943089431
"17","14",0.197444831591173
"17","7",0.0255516840882695
"17","6",0.0569105691056911
"17","16",0.0150987224157956
"17","15",0.0127758420441347
"17","8",0.0139372822299652
"17","13",0.024390243902439
"17","1",0.0220673635307782
"17","20",0.00116144018583043
"17","4",0.00813008130081301
"17","19",0.00116144018583043
"18","7",0.11437908496732
"18","2",0.42156862745098
"18","3",0.0130718954248366
"18","16",0.00980392156862745
"18","12",0.0718954248366013
"18","5",0.0686274509803922
"18","9",0.0130718954248366
"18","6",0.0065359477124183
"18","(conversion)",0.15359477124183
"18","17",0.0196078431372549
"18","11",0.0130718954248366
"18","14",0.0294117647058824
"18","1",0.0065359477124183
"18","4",0.0392156862745098
"18","20",0.00326797385620915
"18","10",0.0065359477124183
"18","15",0.00326797385620915
"18","19",0.00326797385620915
"18","8",0.00326797385620915
"19","2",0.583333333333333
"19","(conversion)",0.0833333333333333
"19","14",0.0833333333333333
"19","1",0.0833333333333333
"19","10",0.0416666666666667
"19","12",0.0416666666666667
"19","5",0.0416666666666667
"19","13",0.0416666666666667
"20","2",0.28125
"20","(conversion)",0.15625
"20","10",0.0625
"20","11",0.015625
"20","6",0.03125
"20","16",0.015625
"20","9",0.015625
"20","3",0.03125
"20","12",0.0625
"20","5",0.109375
"20","17",0.0625
"20","1",0.046875
"20","14",0.0625
"20","7",0.015625
"20","13",0.015625
"20","4",0.015625
